index,uuid,driver_version,name,gpu_serial,display_active,display_mode
0,GPU-f1b3c092-7a09-7617-ac8d-c137effdb1e1,510.47.03,NVIDIA A40,1322221039929,Disabled,Enabled
1,GPU-f92cdaa9-4b70-609c-356d-7dd1bc098026,510.47.03,NVIDIA A40,1322221035179,Disabled,Enabled

pid,process_name,gpu_uuid,gpu_name,used_memory

index,utilization_gpu,memory_total,memory_used,memory_free,timestamp
0,0,49140,2,48484,2023/08/10 00:35:08.125
1,0,49140,2,48484,2023/08/10 00:35:08.127
0,0,49140,3373,45114,2023/08/10 00:35:38.202
1,0,49140,3373,45114,2023/08/10 00:35:38.204
0,0,49140,3373,45114,2023/08/10 00:36:08.264
1,0,49140,3373,45114,2023/08/10 00:36:08.266
0,0,49140,3373,45114,2023/08/10 00:36:38.312
1,0,49140,3373,45114,2023/08/10 00:36:38.313
0,84,49140,13797,34690,2023/08/10 00:37:08.384
1,87,49140,13797,34690,2023/08/10 00:37:08.387
0,88,49140,13797,34690,2023/08/10 00:37:38.461
1,88,49140,13797,34690,2023/08/10 00:37:38.463
0,88,49140,13797,34690,2023/08/10 00:38:08.516
1,84,49140,13797,34690,2023/08/10 00:38:08.519
0,85,49140,13797,34690,2023/08/10 00:38:38.599
1,78,49140,13797,34690,2023/08/10 00:38:38.601
0,86,49140,13797,34690,2023/08/10 00:39:08.679
1,87,49140,13797,34690,2023/08/10 00:39:08.682
0,85,49140,13797,34690,2023/08/10 00:39:38.727
1,86,49140,13797,34690,2023/08/10 00:39:38.728
0,74,49140,13797,34690,2023/08/10 00:40:08.797
1,81,49140,13797,34690,2023/08/10 00:40:08.800
0,87,49140,13797,34690,2023/08/10 00:40:38.876
1,88,49140,13797,34690,2023/08/10 00:40:38.879
0,86,49140,13797,34690,2023/08/10 00:41:08.938
1,84,49140,13797,34690,2023/08/10 00:41:08.941
0,86,49140,13797,34690,2023/08/10 00:41:39.020
1,86,49140,13797,34690,2023/08/10 00:41:39.021
0,86,49140,13797,34690,2023/08/10 00:42:09.098
1,85,49140,13797,34690,2023/08/10 00:42:09.100
0,86,49140,13797,34690,2023/08/10 00:42:39.177
1,84,49140,13797,34690,2023/08/10 00:42:39.179
0,95,49140,13797,34690,2023/08/10 00:43:09.252
1,92,49140,13797,34690,2023/08/10 00:43:09.254
0,88,49140,13797,34690,2023/08/10 00:43:39.328
1,86,49140,13797,34690,2023/08/10 00:43:39.330
0,88,49140,13797,34690,2023/08/10 00:44:09.405
1,88,49140,13797,34690,2023/08/10 00:44:09.408
0,86,49140,13797,34690,2023/08/10 00:44:39.483
1,96,49140,13797,34690,2023/08/10 00:44:39.485
0,84,49140,13797,34690,2023/08/10 00:45:09.556
1,86,49140,13797,34690,2023/08/10 00:45:09.558
0,87,49140,13797,34690,2023/08/10 00:45:39.635
1,86,49140,13797,34690,2023/08/10 00:45:39.644
0,88,49140,13797,34690,2023/08/10 00:46:09.711
1,82,49140,13797,34690,2023/08/10 00:46:09.713
0,95,49140,13797,34690,2023/08/10 00:46:39.784
1,95,49140,13797,34690,2023/08/10 00:46:39.786
0,88,49140,13797,34690,2023/08/10 00:47:09.859
1,87,49140,13797,34690,2023/08/10 00:47:09.861
0,88,49140,13797,34690,2023/08/10 00:47:39.934
1,88,49140,13797,34690,2023/08/10 00:47:39.936
0,85,49140,13797,34690,2023/08/10 00:48:10.011
1,84,49140,13797,34690,2023/08/10 00:48:10.013
0,88,49140,13797,34690,2023/08/10 00:48:40.075
1,86,49140,13797,34690,2023/08/10 00:48:40.080
0,88,49140,13797,34690,2023/08/10 00:49:10.135
1,90,49140,13797,34690,2023/08/10 00:49:10.138
